377,R,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8
8532,M,5,5,8,4,5,8,6,3,5,9,7,8,9,6,2,8
5631,T,6,11,8,8,7,7,7,7,7,5,9,10,6,7,9,4
14735,H,3,4,5,2,2,7,7,3,6,10,6,8,3,8,3,8
12341,Y,5,9,8,6,4,6,9,1,7,7,12,9,1,11,2,8
8570,O,5,10,6,7,5,7,7,8,4,9,6,8,3,8,3,8
6946,P,2,7,3,4,2,5,10,9,3,9,6,5,2,10,3,8
14285,D,5,10,6,8,6,5,7,9,7,7,6,6,2,8,3,8
13039,Z,7,10,5,14,5,7,10,3,3,11,7,7,3,8,14,7
16837,Q,2,1,3,2,1,8,6,7,5,6,6,8,3,8,4,8
5625,G,7,12,6,6,4,8,3,4,3,7,4,4,4,7,5,8
19604,K,5,9,7,6,6,5,7,1,6,9,8,10,4,7,3,8
15226,X,4,8,6,6,3,7,7,1,8,10,6,8,3,8,4,7
17640,E,1,3,3,2,1,6,7,2,7,11,7,9,1,8,4,9
4777,Z,8,14,8,8,5,7,7,2,9,11,7,9,4,7,7,5
2533,F,4,9,6,6,3,6,11,3,6,13,7,4,1,10,2,7
18780,B,5,9,7,7,6,9,7,3,7,10,4,6,2,8,5,10
4962,Q,6,14,5,8,5,9,6,4,6,11,5,7,4,8,9,10
1196,Y,3,10,5,7,1,8,11,1,3,6,12,8,1,11,0,8
5698,S,2,4,3,3,2,8,8,7,5,8,5,7,2,8,8,8
4900,O,5,9,6,6,3,7,7,8,8,7,6,8,3,8,4,8
1538,F,3,6,4,4,3,5,10,2,6,10,9,6,1,10,3,6
2014,N,5,9,5,5,2,5,8,4,6,4,4,9,4,7,2,8
17130,I,1,3,1,4,1,7,7,0,7,7,6,8,0,8,2,8
13154,T,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8
15983,A,3,9,6,7,5,8,5,0,4,6,3,7,2,7,4,5
6661,A,2,4,4,5,1,5,5,3,1,5,1,8,2,7,2,7
11354,G,4,9,5,6,3,6,7,7,7,10,8,9,2,9,4,9
4835,N,1,0,2,1,1,7,7,11,1,5,6,8,4,8,0,8
10840,O,5,6,7,5,5,7,5,4,4,9,4,9,3,7,6,6
6734,Q,2,3,3,4,2,7,8,5,1,7,8,10,2,9,5,8
2485,L,3,5,4,4,2,4,4,4,8,2,1,6,0,7,1,6
15276,N,2,6,3,4,3,7,7,11,1,6,6,8,5,9,0,8
7059,T,5,10,7,7,6,6,7,7,7,7,10,9,4,6,8,7
1653,O,4,9,5,6,4,8,7,8,5,7,7,7,3,8,3,8
2783,P,1,1,2,1,1,5,11,7,2,10,6,4,1,9,3,8
2638,A,5,10,7,8,4,9,2,3,3,8,1,8,2,7,4,8
17695,T,4,9,6,7,5,6,11,2,7,8,11,8,1,12,1,8
17824,N,11,13,9,7,4,6,9,4,7,3,4,11,6,10,2,7
518,X,1,0,2,0,0,7,7,4,4,7,6,8,2,8,3,8
10534,W,3,6,5,4,7,9,7,5,1,7,6,8,7,10,2,7
13979,Q,8,9,10,8,9,8,4,4,4,8,4,11,6,6,8,7
9208,B,3,6,5,4,6,8,7,4,3,6,7,8,6,10,7,7
1169,V,4,6,5,4,3,9,11,3,1,4,10,9,3,11,4,9
11595,W,9,11,8,8,7,5,10,4,3,9,8,7,9,11,3,5
2056,J,0,0,1,0,0,12,4,6,3,12,4,11,0,7,0,8
1264,A,1,3,2,2,1,10,2,2,1,9,2,9,1,6,2,8
18538,E,3,7,3,5,3,3,6,5,9,7,7,13,0,8,7,9
18168,G,6,11,7,8,6,7,7,8,7,6,5,10,2,7,5,11
983,E,3,5,3,3,3,7,7,5,7,7,6,9,2,8,5,10
2877,N,6,7,8,5,4,7,9,2,5,10,5,6,5,9,1,7
12962,J,2,2,4,4,2,10,6,2,7,12,4,9,1,6,1,7
8037,Q,5,6,6,8,5,8,7,6,3,8,8,11,3,9,6,7
14380,Y,5,6,6,4,2,4,10,2,7,10,11,5,2,11,3,4
12058,Z,2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8
3639,S,5,7,6,5,3,6,9,3,8,11,5,7,2,6,5,8
4184,I,0,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8
15569,R,4,11,5,8,3,6,10,10,4,7,4,8,3,7,5,11
2298,Y,4,4,5,6,5,9,9,5,3,7,7,7,5,10,6,4
13906,N,5,10,5,8,3,7,7,15,2,4,6,8,6,8,0,8
19181,K,2,4,3,3,2,5,7,4,7,6,6,11,3,8,5,9
5394,Q,5,8,7,9,7,9,7,7,2,5,8,9,5,9,7,11
9546,Q,3,3,4,4,3,8,8,6,2,5,7,10,2,9,5,9
16418,L,2,5,4,4,2,7,4,1,8,8,2,10,0,7,2,8
8255,A,4,10,7,8,4,13,2,4,4,12,1,9,3,7,4,10
853,G,3,6,4,4,3,7,6,6,6,6,6,10,2,9,4,8
17407,X,1,1,2,1,0,7,7,4,4,7,6,8,2,8,4,7
18789,R,3,4,4,2,3,7,7,5,5,7,5,7,2,7,4,8
4651,Y,4,9,6,7,3,8,10,1,8,5,12,8,1,11,2,8
4270,W,4,4,5,2,3,4,11,3,2,10,9,8,6,11,1,6
9028,I,3,8,5,6,3,8,6,2,7,7,6,7,0,9,4,7
11930,N,1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8
16898,M,4,6,7,4,8,6,5,4,2,6,4,8,12,6,3,7
6749,I,2,6,2,4,1,6,8,0,6,13,7,8,0,8,1,7
11966,G,6,10,6,7,5,5,7,6,5,9,8,11,2,9,4,9
11399,T,4,11,5,8,2,7,15,1,6,8,11,8,0,8,0,8
14102,D,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7
7805,S,5,8,7,6,4,6,8,3,7,10,6,7,3,7,5,6
1095,Q,3,7,4,6,2,8,6,8,6,6,4,8,3,8,4,8
12286,P,4,7,5,5,3,9,8,3,5,12,4,4,2,9,3,9
301,F,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6
12597,Q,4,6,6,4,5,8,5,7,4,7,6,6,5,7,6,9
16553,J,4,11,4,8,3,14,3,5,5,13,1,9,0,7,0,8
1941,W,3,8,5,6,5,6,11,2,2,7,8,8,6,11,1,8
7363,Y,2,3,4,2,1,8,11,1,6,6,11,9,1,11,1,8
2085,G,4,6,6,6,6,7,7,5,4,7,7,8,7,10,6,8
949,B,2,6,3,4,3,6,7,7,5,7,6,7,2,8,6,9
5891,E,3,5,4,4,3,7,7,5,8,7,6,9,2,8,6,9
4395,Q,5,7,6,6,5,9,3,4,4,8,3,10,3,6,6,7
2095,D,4,8,5,6,4,6,7,8,7,6,5,4,3,8,4,8
14727,V,3,9,5,6,3,7,9,3,1,7,12,8,3,9,1,8
9050,W,6,9,8,7,9,7,9,6,4,7,9,8,7,7,5,10
16673,U,5,11,6,8,5,7,5,13,5,7,12,8,3,9,0,8
6948,Y,3,9,5,7,3,9,10,1,6,4,11,8,2,12,2,8
634,K,0,0,1,0,0,4,7,5,3,7,6,10,3,8,2,11
13788,M,8,10,8,6,5,4,9,5,4,4,3,12,9,10,2,8
8251,X,7,10,9,8,8,8,6,3,5,6,7,7,4,10,11,8
16808,I,1,3,2,1,0,7,7,1,7,13,6,8,0,8,1,8
7753,N,8,11,12,8,6,7,9,2,5,9,6,6,6,9,1,8
8263,X,5,8,7,6,3,7,8,1,8,10,6,8,3,8,4,7
17811,N,4,9,6,6,4,7,9,2,5,9,5,6,5,8,1,7
10713,C,4,6,6,4,3,8,6,7,7,7,6,8,4,10,4,8
12382,S,5,12,4,6,2,9,3,4,4,9,2,8,3,6,4,8
287,K,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10
9633,F,7,8,8,9,9,6,9,4,5,7,7,6,5,8,11,8
16795,P,6,11,5,6,3,5,11,5,4,13,6,4,3,9,4,8
9878,I,1,3,2,2,0,7,7,1,7,13,6,8,0,8,1,8
5655,Y,4,4,5,3,2,4,10,2,8,10,10,5,3,11,4,3
5339,U,4,5,5,4,2,4,8,5,7,10,9,9,3,9,2,5
16537,S,4,3,5,5,2,8,10,6,10,5,5,5,0,7,8,9
1366,F,4,8,6,9,8,7,9,4,4,8,6,7,4,9,8,8
4268,H,6,7,9,10,8,7,11,5,1,8,7,5,4,12,10,4
11097,C,5,8,6,6,3,7,6,6,8,13,7,12,2,10,4,7
10517,X,4,5,7,4,3,6,8,1,9,10,8,8,2,8,3,7
17902,S,5,9,5,5,2,10,5,4,4,13,5,8,2,9,2,8
8211,G,2,4,3,3,2,6,8,5,5,9,8,9,2,8,4,9
19888,A,3,11,5,8,4,12,3,3,3,10,2,9,2,7,3,9
9977,M,4,5,7,3,4,9,6,3,5,9,4,7,10,6,2,8
11403,U,6,11,8,8,12,8,7,4,4,6,7,8,8,8,6,7
1325,A,1,0,2,0,0,8,4,2,0,7,2,8,1,6,1,8
4600,T,2,4,4,6,1,7,14,0,6,7,11,8,0,8,0,8
4556,C,1,0,1,1,0,7,7,5,7,7,6,13,0,8,4,10
15766,H,2,0,2,0,0,7,8,11,1,7,5,8,3,8,0,8
19219,N,7,9,6,4,2,7,10,4,5,4,5,10,5,9,2,7
9584,H,4,10,5,7,3,7,8,15,1,7,5,8,3,8,0,8
9031,Z,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8
4452,L,1,4,3,3,1,6,5,2,9,7,2,10,0,7,3,7
13538,A,2,3,3,2,1,10,2,2,1,8,2,9,2,5,1,9
8940,H,5,9,6,6,6,7,7,5,5,7,5,8,6,6,6,11
18145,T,2,3,3,2,1,5,11,3,6,11,9,5,1,11,1,5
3915,S,8,15,6,9,3,11,3,4,5,11,2,9,4,6,5,11
5153,U,1,0,1,0,0,7,6,10,4,7,11,8,3,10,0,8
4408,O,4,8,5,6,4,7,7,7,4,10,6,8,3,8,3,8
19491,C,4,5,5,4,2,4,9,5,8,12,10,12,1,8,2,7
11185,H,2,4,3,3,2,6,7,5,6,7,6,8,6,8,3,8
15696,L,6,12,5,7,3,10,2,4,4,13,4,12,2,7,6,9
10782,C,7,10,8,8,4,2,9,5,9,11,11,13,1,7,3,6
18947,I,1,2,1,3,1,7,7,1,7,7,6,8,0,8,2,8
16190,H,3,7,3,5,3,8,6,12,2,7,8,8,3,9,0,8
17005,D,6,10,8,8,6,9,6,5,8,10,3,6,3,8,4,8
9761,U,5,8,5,6,2,4,9,5,7,12,11,8,3,9,1,6
3989,T,2,3,3,1,1,7,11,2,6,7,11,8,1,10,1,7
14464,H,3,4,4,2,3,8,7,6,6,7,6,8,6,8,4,7
17222,Z,5,6,4,9,4,9,4,4,3,11,6,9,2,10,8,8
19718,X,3,7,5,6,5,9,7,2,4,8,6,6,3,9,7,7
7943,X,4,8,6,7,6,9,8,2,5,7,5,6,3,8,7,8
5759,N,5,8,7,7,7,8,8,5,5,8,5,6,6,10,7,2
17787,Q,5,9,7,7,6,8,3,8,4,6,6,7,3,8,3,8
6802,D,3,5,5,4,3,9,6,4,6,10,4,6,2,8,3,8
8877,E,4,11,4,8,4,2,8,5,9,7,6,14,0,8,6,8
7410,N,5,10,7,7,5,7,8,6,6,6,6,6,6,8,1,6
17014,H,2,3,3,2,2,7,7,6,5,7,6,8,3,8,2,7
19248,T,3,4,4,2,1,5,13,3,6,12,9,3,1,10,1,5
18992,S,2,3,2,1,1,8,8,6,4,7,6,7,2,8,8,8
12662,W,4,7,6,5,3,7,8,4,1,7,8,8,8,9,0,8
11699,G,8,12,7,6,5,7,6,3,3,8,5,7,4,9,9,7
10428,Y,7,11,7,8,4,3,10,2,7,10,12,6,1,11,2,5
4128,I,6,15,4,8,3,11,5,5,4,13,3,8,3,8,5,9
2889,R,4,6,6,6,6,6,8,4,3,6,5,9,7,6,7,8
9570,D,5,10,5,5,4,9,6,3,6,10,4,7,5,8,7,7
15635,H,4,9,5,7,4,7,8,13,1,7,5,8,3,8,0,8
4255,T,8,11,8,8,4,4,12,2,8,13,10,5,0,10,2,4
17928,G,7,10,7,7,5,7,6,7,8,11,6,11,2,11,5,9
1849,N,5,7,7,5,3,5,9,3,5,10,9,9,6,7,1,7
14633,V,3,10,5,7,2,7,8,4,3,7,14,8,3,9,0,8
8166,Y,5,11,7,8,4,7,10,2,7,6,12,8,2,11,2,8
91,Y,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5
17471,Q,4,6,4,8,5,8,5,6,4,9,5,9,3,8,5,7
11508,O,7,8,9,7,6,5,7,6,6,8,5,6,3,7,5,7
12869,M,5,9,5,6,6,7,6,10,1,7,8,8,8,4,0,8
11447,I,2,11,3,8,4,8,7,0,7,7,6,8,0,8,3,7
14670,Z,5,9,7,6,4,6,9,3,10,11,9,5,2,8,6,5
3930,Z,3,5,6,4,3,8,7,2,10,12,6,9,1,8,6,8
18221,A,5,10,5,6,3,10,2,4,2,11,6,13,5,4,5,10
16064,D,5,11,5,6,4,10,5,3,5,10,4,7,5,8,7,7
16598,B,2,1,3,3,2,7,7,5,5,6,6,6,2,8,5,9
16936,U,5,10,6,7,2,7,4,14,5,7,14,8,3,9,0,8
14494,E,3,5,4,5,4,5,9,4,4,8,7,8,4,11,7,7
15986,Q,5,11,7,8,7,8,4,7,4,5,7,11,6,6,8,8
17871,M,5,7,8,5,5,8,6,2,5,9,6,8,8,6,2,8
8843,U,3,6,3,4,1,8,5,13,5,6,13,8,3,9,0,8
3890,M,5,5,7,4,4,7,6,6,6,6,7,7,9,7,3,6
5191,W,3,4,4,2,2,6,11,3,2,8,7,7,6,11,1,6
8842,K,4,5,5,4,3,6,7,4,7,6,6,10,3,8,5,9
11838,T,2,5,4,6,1,5,14,1,6,9,11,7,0,8,0,8
8195,L,3,8,4,6,3,5,5,2,8,6,2,10,0,7,3,7
1127,D,2,3,3,2,2,7,7,6,7,7,6,4,2,8,3,7
14663,G,5,10,7,8,6,8,7,7,6,6,7,7,2,7,8,13
11220,C,5,9,4,5,1,6,8,6,7,11,7,9,2,9,5,9
13661,S,4,10,5,8,4,8,7,8,6,8,5,7,2,8,9,8
15434,R,1,0,1,0,0,6,8,6,3,7,5,7,2,7,4,11
8809,W,8,11,8,8,6,4,10,2,3,10,9,8,8,11,2,6
16964,S,4,9,5,7,4,10,7,4,6,10,3,7,2,8,5,10
11843,N,2,1,2,2,1,7,9,5,4,7,6,7,4,8,1,6
2732,B,5,10,5,8,7,7,8,8,6,8,6,7,2,8,8,9
14239,N,8,12,7,6,3,7,10,4,6,3,5,9,5,9,2,7
19434,C,1,0,2,0,0,7,7,6,8,7,6,13,0,8,4,10
14079,U,4,4,5,3,2,4,9,5,7,11,10,9,3,9,2,7
17069,I,1,1,1,3,1,8,7,1,7,7,6,7,0,8,2,7
11643,E,3,7,3,5,2,3,7,6,10,7,6,14,0,8,7,7
13828,G,6,11,7,8,6,6,6,6,5,5,6,10,2,9,4,8
9613,Y,5,9,5,4,2,5,8,3,3,10,9,6,4,9,3,4
7922,T,10,15,9,8,5,6,10,3,7,12,7,6,3,9,6,5
16907,J,2,6,3,4,1,15,3,3,5,12,1,8,0,8,0,8
16613,I,2,10,3,8,2,9,6,0,7,13,5,8,0,8,1,8
19814,Y,1,0,2,0,0,7,10,3,1,7,12,8,1,11,0,8
7435,F,6,9,8,7,5,8,9,1,7,14,5,5,2,9,3,9
17186,F,4,9,5,6,4,5,10,5,6,11,10,5,2,9,2,5
2917,B,3,5,4,4,3,8,7,6,6,6,5,6,2,8,6,10
13255,H,2,1,3,1,2,7,8,6,6,7,6,10,3,8,3,9
8554,F,3,6,4,4,3,5,11,4,4,12,8,5,2,10,2,6
532,L,1,0,1,1,0,2,2,5,5,1,1,6,0,8,0,8
2069,F,5,8,7,6,3,4,12,3,6,14,8,4,1,10,1,7
15561,Y,4,8,5,6,2,6,10,2,2,7,12,8,2,11,0,8
3829,T,4,11,5,8,3,7,14,0,5,7,10,8,0,8,0,8
15006,V,4,6,4,4,2,3,12,4,3,11,11,7,2,10,1,7
15050,O,6,10,8,8,9,7,8,6,2,7,6,7,10,9,6,10
3226,C,5,8,6,6,2,6,6,7,11,8,5,12,1,9,4,8
2356,G,4,7,5,5,3,7,7,6,7,10,7,11,2,9,4,9
18115,E,2,5,3,4,3,7,7,6,7,7,6,9,2,8,6,10
5584,D,5,11,6,8,6,6,7,9,7,6,5,5,2,8,3,7
17790,S,2,4,3,3,1,7,8,3,7,10,7,7,1,9,5,7
6101,M,4,7,6,5,6,7,8,6,4,7,6,8,5,9,7,7
13766,B,5,8,8,6,5,9,7,4,7,10,5,6,2,8,6,10
3867,N,4,4,4,6,2,7,7,14,2,4,6,8,6,8,0,8
9060,A,4,9,6,6,2,7,7,3,0,7,0,8,3,7,1,8
18081,V,2,3,3,2,1,5,12,2,2,8,10,7,2,11,0,8
8764,G,4,9,5,6,3,6,7,7,6,10,7,11,2,9,4,9
10315,M,6,7,9,6,10,7,6,4,4,7,6,8,12,9,5,5
8941,P,12,14,10,8,4,8,9,6,5,14,3,4,5,10,5,8
10137,S,5,7,6,5,3,8,8,4,9,11,3,8,2,6,4,10
14667,U,5,7,6,5,3,4,8,5,7,9,8,9,3,9,2,5
10750,P,5,6,7,8,8,8,6,4,3,7,7,7,7,12,6,7
223,J,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9
18009,V,5,5,6,4,2,4,12,3,3,10,11,7,2,10,1,8
8115,O,2,3,3,2,2,8,7,6,4,9,5,8,2,8,2,8
14697,X,4,6,7,4,3,9,7,1,8,10,4,7,3,8,3,8
4398,M,6,10,7,8,7,8,5,11,0,7,9,8,10,5,3,7
12552,Q,5,7,6,8,5,9,8,7,2,4,7,10,3,8,6,10
8743,Q,3,5,4,5,3,8,6,7,6,7,3,9,2,8,3,8
4807,U,3,3,4,2,2,6,8,5,7,6,9,9,3,10,1,7
16168,N,3,5,3,4,2,7,9,5,4,7,6,7,5,8,2,7
932,D,6,9,8,8,8,6,8,5,7,5,3,6,5,9,8,5
16528,D,2,3,2,2,2,7,7,6,6,7,6,5,2,8,2,7
9682,X,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8
11590,M,1,0,2,0,0,7,6,9,0,7,8,8,5,6,0,8
11266,W,6,9,8,7,6,8,8,4,1,7,9,8,8,10,0,8
9440,C,2,4,3,3,1,4,8,5,7,11,9,12,1,9,2,7
11442,O,5,9,4,4,2,9,7,5,4,9,4,8,4,9,5,9
10012,X,2,6,3,4,2,7,7,4,4,7,6,7,2,8,4,8
12676,U,4,3,4,5,1,7,5,12,5,7,15,8,3,9,0,8
6130,C,3,10,5,7,3,4,9,6,6,6,8,14,1,8,4,10
6693,W,5,9,7,7,4,8,8,5,2,7,8,8,9,9,0,8
16436,D,4,4,5,6,3,5,7,10,9,6,6,5,3,8,4,8
15459,W,5,7,5,5,4,3,11,2,2,10,8,7,5,11,2,6
17727,Q,5,8,7,9,6,8,5,8,5,6,6,9,3,8,6,10
3739,G,6,9,8,7,10,8,7,4,3,6,5,9,8,7,9,13
6829,T,5,7,7,6,6,7,8,4,8,7,7,8,3,9,8,6
11568,J,2,7,2,5,1,13,2,8,4,13,4,12,1,6,0,8
12027,W,4,6,6,4,8,9,7,5,2,7,6,8,9,11,2,7
9603,P,2,6,3,4,1,4,11,8,2,10,6,4,1,10,3,8
13016,L,2,5,3,3,2,5,4,5,6,2,2,5,1,6,1,6
10073,G,6,11,6,8,5,6,6,6,6,10,6,13,4,9,6,8
1700,A,3,8,5,6,3,7,5,3,0,7,1,8,2,7,1,8
14427,E,4,9,6,7,5,9,7,2,7,11,5,8,3,7,6,10
7885,F,5,9,7,7,4,6,10,2,6,13,7,5,1,10,2,7
9188,J,4,7,6,5,4,8,6,5,5,8,7,7,3,7,4,6
6839,E,7,15,6,8,5,7,7,4,5,10,6,9,3,9,8,10
15921,Z,3,6,4,4,3,7,7,3,12,8,6,8,0,8,7,8
12257,T,5,10,6,8,4,6,12,2,9,8,12,8,1,11,1,7
9568,E,3,5,5,3,3,7,8,2,8,11,7,9,2,9,4,8
2771,O,4,9,5,7,4,7,7,8,6,7,6,6,2,8,3,8
16796,K,8,12,7,6,4,9,8,3,7,9,4,6,6,9,4,8
19291,M,6,11,10,8,14,8,7,3,3,8,4,7,12,4,4,6
8412,L,3,7,4,5,1,0,0,6,6,0,1,5,0,8,0,8
4018,M,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8
8974,K,5,9,7,6,5,4,7,2,7,10,10,12,3,8,3,6
16050,J,3,11,4,8,3,14,4,4,5,13,1,8,0,7,0,8
18237,E,3,5,6,3,3,7,7,2,8,12,7,9,2,9,4,8
6662,H,5,9,8,7,5,9,8,3,6,10,4,7,3,8,3,9
19167,M,4,8,6,6,5,8,6,2,4,9,6,8,7,6,2,8
15184,H,4,6,6,8,6,8,12,4,2,8,7,6,3,11,7,5
15500,L,3,11,5,8,3,4,3,5,8,1,0,6,0,6,1,5
10688,S,3,5,4,3,2,8,7,2,7,10,6,8,1,9,5,8
7647,J,2,6,3,4,3,9,9,4,3,8,4,6,4,8,5,4
2488,K,4,5,5,7,2,4,7,9,2,7,5,11,4,8,2,11
16953,F,3,5,3,3,2,5,11,3,6,11,9,5,1,10,3,6
13003,L,4,8,5,6,3,7,4,1,7,8,2,10,1,6,3,8
7019,A,4,11,6,8,4,12,3,3,3,9,1,9,2,6,3,8
16125,P,6,10,8,8,5,7,10,5,4,12,5,3,1,10,3,8
8321,M,6,9,7,4,4,5,9,4,5,5,4,10,8,9,2,8
11301,R,4,11,5,8,3,6,11,10,4,7,3,9,3,7,5,11
15536,K,3,2,4,3,2,5,7,4,7,6,6,11,3,8,5,9
19840,Q,3,5,4,6,3,8,7,7,2,5,7,10,3,8,6,9
14432,V,3,6,3,4,2,4,11,1,3,9,10,7,2,11,0,8
918,K,5,8,8,6,5,3,8,2,6,10,11,11,3,7,3,5
7346,L,3,6,4,4,3,6,7,9,5,6,6,9,3,8,5,11
19862,W,4,7,6,5,3,8,8,4,1,7,8,8,8,9,0,8
7350,E,6,11,9,9,6,10,6,2,9,11,4,9,3,8,5,11
12329,Y,5,8,5,6,2,4,11,3,8,12,11,4,1,10,2,4
12532,U,4,8,6,6,3,4,8,7,7,9,11,11,3,9,0,8
2921,I,3,9,4,6,2,5,8,0,8,14,7,8,0,8,1,7
17123,A,1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8
5735,O,6,9,7,7,6,7,8,7,5,9,7,9,3,8,4,7
12114,M,4,6,4,4,2,8,7,12,1,6,9,8,8,6,0,8
11637,S,4,10,5,7,3,8,8,6,9,4,6,7,0,8,9,7
5812,W,3,2,5,3,3,5,11,3,2,8,9,9,7,11,0,8
9412,N,3,4,5,3,2,7,9,3,4,10,6,6,5,9,0,7
6376,B,4,9,6,6,5,6,9,5,6,10,6,5,3,8,7,8
2995,A,1,3,2,1,1,9,3,2,1,8,2,9,1,6,0,8
15257,Z,3,6,4,4,3,8,7,5,10,7,5,8,2,9,8,8
11261,O,4,10,5,7,4,7,7,8,5,6,4,7,3,9,4,9
11458,I,7,11,9,8,6,10,5,2,7,7,7,4,0,9,4,7
7184,K,5,10,6,7,2,3,8,8,2,7,5,11,4,8,3,10
646,K,3,7,4,5,3,6,7,4,7,6,6,9,3,8,5,9
4353,F,5,8,6,10,8,7,9,5,5,7,6,7,4,9,9,7
8808,F,3,5,5,3,2,6,10,3,6,13,7,5,1,10,2,7
16678,W,8,9,8,7,7,5,11,3,3,9,8,7,7,12,3,6
16828,W,5,8,8,6,5,7,8,4,1,7,9,8,7,11,0,8
3062,M,4,4,7,3,4,7,6,3,4,9,8,9,7,5,2,8
10196,V,2,7,4,5,2,9,9,3,1,5,12,8,2,11,0,8
7672,G,2,3,3,2,2,6,7,5,5,9,7,10,2,9,4,9
7053,P,1,1,1,1,0,5,11,7,2,9,6,4,1,9,3,8
1530,J,3,9,4,7,1,12,2,9,4,13,7,13,1,6,0,8
19488,P,4,6,6,4,3,6,11,5,3,11,5,3,1,10,3,8
18674,Q,3,3,4,4,3,7,8,5,3,8,8,10,3,9,5,8
13114,M,3,3,4,2,2,9,6,6,4,6,7,6,6,5,2,6
2927,H,8,12,7,6,4,9,9,4,7,8,2,5,6,6,4,8
18008,M,5,6,7,4,5,9,6,2,4,9,6,7,7,6,2,7
17666,Y,5,6,7,9,10,8,4,5,3,7,8,9,8,8,6,8
15299,F,6,10,9,7,5,4,12,5,5,13,8,4,2,10,2,5
7200,J,4,8,5,6,2,7,6,4,6,15,6,11,1,6,1,7
12159,P,4,8,6,11,10,8,9,4,0,8,7,6,8,10,6,8
1580,B,4,2,5,4,4,8,7,5,6,6,5,5,2,8,7,10
19298,F,5,5,5,8,2,1,14,5,3,12,10,5,0,8,2,5
6482,U,3,7,5,5,3,7,8,6,6,5,9,9,3,9,1,8
10220,A,2,7,4,5,2,9,3,2,2,8,1,8,2,6,3,8
4420,M,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8
1485,D,2,5,4,4,3,8,7,5,6,9,5,5,3,8,4,8
15516,Z,1,3,2,2,1,7,7,5,8,6,6,8,1,8,7,8
18810,Q,4,8,5,8,3,8,6,9,7,7,4,9,3,8,4,8
16283,T,7,9,7,7,5,6,11,4,6,11,9,4,2,12,2,4
3027,V,7,9,7,7,3,3,11,2,4,9,11,7,5,11,1,6
16508,U,5,8,6,6,5,8,8,8,5,6,7,9,3,7,4,6
9214,O,4,7,5,5,2,8,6,8,8,7,5,8,3,8,4,8
7377,W,9,10,9,7,6,3,11,2,3,9,9,8,8,11,2,6
6882,G,6,11,5,6,4,8,7,4,3,9,6,7,4,9,9,8
1685,D,5,8,7,6,6,8,7,5,6,9,4,5,3,8,4,9
16081,P,4,8,6,6,6,6,7,6,4,8,6,8,5,8,6,10
429,K,4,10,6,8,7,7,7,5,4,7,5,7,4,6,9,14
105,V,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8
11569,H,5,6,8,4,5,8,7,3,6,10,5,8,4,9,4,8
17359,S,5,8,7,6,8,8,5,4,4,9,6,10,4,8,9,9
16934,C,1,0,2,0,0,7,7,6,8,7,6,13,0,8,4,10
922,S,2,3,3,2,1,9,7,2,6,10,5,7,1,9,5,9
10146,M,4,4,6,3,4,6,6,3,4,10,9,9,7,6,2,9
1271,Z,3,9,5,7,5,8,6,3,7,7,6,8,1,7,11,9
8447,W,7,8,9,7,10,6,9,6,7,7,7,8,8,9,8,10
2105,V,3,8,5,6,1,9,8,4,3,6,14,8,3,9,0,8
2476,M,2,3,4,1,2,5,7,4,3,10,10,10,4,7,1,6
15029,E,4,9,4,6,3,3,7,6,11,7,6,15,0,8,7,7
19832,I,2,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8
14139,L,3,10,5,8,4,7,4,2,7,7,2,9,1,6,3,8
4088,Z,2,5,3,3,3,8,7,5,9,6,6,7,2,8,7,8
1235,X,1,1,2,2,1,7,7,3,8,6,6,8,2,8,5,8
8485,Q,4,7,5,9,5,8,6,6,2,8,6,11,3,9,6,9
17487,V,2,3,3,2,1,8,12,2,2,5,10,9,2,11,0,8
3858,H,5,8,8,6,5,5,9,4,6,10,10,9,4,9,4,6
13852,K,2,4,4,3,2,7,7,1,7,10,5,9,3,8,3,8
18874,D,3,6,4,4,3,8,7,5,7,10,5,6,3,8,3,9
15904,F,6,11,8,8,4,4,14,4,5,13,7,2,1,10,2,5
6404,M,4,9,5,6,5,8,6,11,1,7,8,8,7,5,0,8
279,S,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8
8481,K,11,14,10,8,4,6,8,3,8,9,7,8,5,8,4,7
10450,Y,4,10,6,7,1,7,12,2,3,8,12,8,1,10,0,8
5281,Y,3,4,4,3,1,4,11,2,7,11,10,5,1,11,2,5
550,N,6,9,9,7,5,10,8,3,6,10,2,4,5,9,1,7
